heart_rate,timestamp,sleep_stage
52,04:38:00,Light
53,04:40:00,Light
53,04:42:00,Light
52,04:44:00,Deep
53,04:46:00,Deep
53,04:48:00,Deep
53,04:50:00,Deep
53,04:52:00,Deep
53,04:54:00,Deep
53,04:56:00,Deep
53,04:58:00,Deep
52,05:00:00,Deep
52,05:02:00,Deep
52,05:04:00,Deep
52,05:06:00,Deep
52,05:08:00,Deep
52,05:10:00,Deep
55,05:12:00,Deep
50,05:14:00,Deep
50,05:16:00,Deep
50,05:18:00,Deep
50,05:20:00,Deep
50,05:22:00,Deep
50,05:24:00,Deep
51,05:26:00,Deep
51,05:28:00,Deep
50,05:30:00,Deep
51,05:32:00,Deep
51,05:34:00,Deep
52,05:36:00,Deep
52,05:38:00,Deep
52,05:40:00,Deep
53,05:42:00,Deep
54,05:44:00,Deep
53,05:46:00,Deep
53,05:48:00,Deep
53,05:50:00,Deep
53,05:52:00,Deep
59,05:54:00,Light
52,05:56:00,Light
50,05:58:00,Light
52,06:00:00,Light
52,06:02:00,Light
53,06:04:00,REM
54,06:06:00,REM
52,06:08:00,REM
54,06:10:00,REM
52,06:12:00,REM
52,06:14:00,REM
53,06:16:00,REM
53,06:18:00,REM
53,06:20:00,REM
53,06:22:00,REM
54,06:24:00,REM
54,06:26:00,REM
57,06:28:00,Awake
51,06:30:00,Light
50,06:32:00,Light
49,06:34:00,Light
51,06:36:00,Light
50,06:38:00,Light
52,06:40:00,Light
52,06:42:00,Deep
52,06:44:00,Deep
52,06:46:00,Deep
53,06:48:00,Awake
56,06:50:00,Awake
51,06:52:00,Light
51,06:54:00,Light
51,06:56:00,Light
51,06:58:00,Light
52,07:00:00,Light
53,07:02:00,Light
49,07:04:00,Light
52,07:06:00,Light
52,07:08:00,Light
50,07:10:00,Light
50,07:12:00,Light
51,07:14:00,Light
55,07:16:00,Light
50,07:18:00,Light
52,07:20:00,Light
53,07:22:00,Light
52,07:24:00,Light
52,07:26:00,Light
53,07:28:00,Light
51,07:30:00,Light
58,07:32:00,Light
48,07:34:00,Light
50,07:36:00,Light
50,07:38:00,Light
51,07:40:00,Light
49,07:42:00,Light
50,07:44:00,Light
49,07:46:00,Light
49,07:48:00,Light
51,07:50:00,Light
49,07:52:00,Light
51,07:54:00,Light
51,07:56:00,Light
52,07:58:00,Deep
52,08:00:00,Deep
51,08:02:00,Deep
52,08:04:00,Deep
51,08:06:00,Deep
