heart_rate,timestamp,sleep_stage
59,02:32:00,
59,02:34:00,Light
60,02:36:00,Light
60,02:38:00,Light
60,02:40:00,Light
61,02:42:00,Light
61,02:44:00,Deep
60,02:46:00,Deep
60,02:48:00,Deep
61,02:50:00,Deep
60,02:52:00,Deep
60,02:54:00,Deep
60,02:56:00,Deep
60,02:58:00,Deep
60,03:00:00,Deep
74,03:02:00,Awake
66,03:04:00,Awake
62,03:06:00,Light
60,03:08:00,Light
58,03:10:00,Light
59,03:12:00,Light
59,03:14:00,Light
60,03:16:00,Light
61,03:18:00,Light
62,03:20:00,Light
61,03:22:00,Light
59,03:24:00,Light
60,03:26:00,Light
58,03:28:00,Light
56,03:30:00,Light
57,03:32:00,Light
56,03:34:00,Light
57,03:36:00,Light
56,03:38:00,Deep
57,03:40:00,Deep
56,03:42:00,Deep
57,03:44:00,Deep
61,03:46:00,Awake
54,03:48:00,Light
55,03:50:00,Light
56,03:52:00,Light
55,03:54:00,Light
56,03:56:00,Light
57,03:58:00,Deep
56,04:00:00,Deep
56,04:02:00,Deep
56,04:04:00,Deep
56,04:06:00,Deep
57,04:08:00,Deep
56,04:10:00,Deep
56,04:12:00,Deep
56,04:14:00,Deep
55,04:16:00,Deep
55,04:18:00,Deep
56,04:20:00,Deep
61,04:22:00,Awake
56,04:24:00,Light
53,04:26:00,Light
55,04:28:00,Light
53,04:30:00,Light
55,04:32:00,Light
55,04:34:00,Light
56,04:36:00,Light
57,04:38:00,Light
53,04:40:00,Light
54,04:42:00,Light
53,04:44:00,Light
53,04:46:00,Light
54,04:48:00,Light
54,04:50:00,Light
53,04:52:00,Light
55,04:54:00,Light
53,04:56:00,Light
53,04:58:00,Light
52,05:00:00,Light
53,05:02:00,Light
52,05:04:00,Light
53,05:06:00,Light
53,05:08:00,Light
53,05:10:00,Light
54,05:12:00,Deep
54,05:14:00,Deep
54,05:16:00,Deep
54,05:18:00,Deep
54,05:20:00,Deep
53,05:22:00,Deep
54,05:24:00,Deep
54,05:26:00,Deep
54,05:28:00,Deep
54,05:30:00,Deep
55,05:32:00,Deep
54,05:34:00,Deep
55,05:36:00,Deep
55,05:38:00,Deep
54,05:40:00,Deep
71,05:42:00,Awake
56,05:44:00,Light
46,05:46:00,Light
47,05:48:00,Light
45,05:50:00,Light
46,05:52:00,Light
47,05:54:00,Light
53,05:56:00,Light
53,05:58:00,Light
50,06:00:00,Light
49,06:02:00,Light
47,06:04:00,Light
45,06:06:00,Light
44,06:08:00,Light
46,06:10:00,Light
46,06:12:00,Light
50,06:14:00,Light
49,06:16:00,Light
48,06:18:00,Light
50,06:20:00,Light
48,06:22:00,Light
50,06:24:00,Light
47,06:26:00,Light
48,06:28:00,Light
48,06:30:00,Light
49,06:32:00,Light
50,06:34:00,Light
49,06:36:00,Light
49,06:38:00,Light
49,06:40:00,Light
49,06:42:00,Light
49,06:44:00,Light
48,06:46:00,Light
49,06:48:00,Light
50,06:50:00,Light
55,06:52:00,Light
48,06:54:00,Light
48,06:56:00,Light
49,06:58:00,Light
44,07:00:00,Light
45,07:02:00,Light
45,07:04:00,Light
45,07:06:00,Light
46,07:08:00,Light
45,07:10:00,Light
49,07:12:00,Light
46,07:14:00,Light
46,07:16:00,Light
49,07:18:00,Light
47,07:20:00,Light
47,07:22:00,Light
49,07:24:00,Light
46,07:26:00,Light
47,07:28:00,Light
45,07:30:00,Light
45,07:32:00,Light
47,07:34:00,Light
45,07:36:00,Light
47,07:38:00,Light
44,07:40:00,Light
44,07:42:00,Light
45,07:44:00,Light
44,07:46:00,Light
44,07:48:00,Light
49,07:50:00,Light
46,07:52:00,Light
49,07:54:00,Light
51,07:56:00,Light
47,07:58:00,Light
45,08:00:00,Light
45,08:02:00,Light
44,08:04:00,Light
46,08:06:00,Light
45,08:08:00,Light
45,08:10:00,Light
46,08:12:00,Light
46,08:14:00,Light
46,08:16:00,Light
47,08:18:00,Light
48,08:20:00,Light
48,08:22:00,Light
48,08:24:00,Light
48,08:26:00,Light
48,08:28:00,Light
48,08:30:00,Light
47,08:32:00,Light
48,08:34:00,Light
48,08:36:00,Light
49,08:38:00,Light
49,08:40:00,Light
48,08:42:00,Light
49,08:44:00,Light
50,08:46:00,Light
53,08:48:00,Light
54,08:50:00,REM
47,08:52:00,REM
47,08:54:00,REM
48,08:56:00,REM
47,08:58:00,REM
46,09:00:00,REM
46,09:02:00,REM
49,09:04:00,Awake
51,09:06:00,Awake
50,09:08:00,Awake
50,09:10:00,Light
47,09:12:00,Light
48,09:14:00,Light
49,09:16:00,Light
47,09:18:00,Light
46,09:20:00,Light
