heart_rate,timestamp,sleep_stage
60,00:10:00,
58,00:12:00,Light
58,00:14:00,Light
59,00:16:00,Light
60,00:18:00,Light
59,00:20:00,Light
58,00:22:00,Light
58,00:24:00,Deep
59,00:26:00,Deep
59,00:28:00,Deep
59,00:30:00,Deep
59,00:32:00,Deep
58,00:34:00,Deep
59,00:36:00,Deep
59,00:38:00,Deep
59,00:40:00,Deep
58,00:42:00,Deep
58,00:44:00,Deep
58,00:46:00,Deep
58,00:48:00,Deep
58,00:50:00,Deep
58,00:52:00,Deep
57,00:54:00,Deep
56,00:56:00,Deep
57,00:58:00,Deep
58,01:00:00,Deep
58,01:02:00,Deep
58,01:04:00,Deep
58,01:06:00,Deep
57,01:08:00,Deep
58,01:10:00,Deep
57,01:12:00,Deep
62,01:14:00,Light
58,01:16:00,Light
53,01:18:00,Light
55,01:20:00,Light
56,01:22:00,Light
57,01:24:00,Light
58,01:26:00,Light
58,01:28:00,Light
57,01:30:00,Light
56,01:32:00,Light
56,01:34:00,Light
59,01:36:00,Light
57,01:38:00,Light
58,01:40:00,Light
57,01:42:00,Light
54,01:44:00,Light
57,01:46:00,Light
60,01:48:00,Light
51,01:50:00,Light
50,01:52:00,Light
51,01:54:00,Light
52,01:56:00,Light
51,01:58:00,Light
50,02:00:00,Light
51,02:02:00,Light
50,02:04:00,Light
50,02:06:00,Deep
51,02:08:00,Deep
51,02:10:00,Deep
50,02:12:00,Deep
50,02:14:00,Deep
52,02:16:00,Deep
53,02:18:00,Deep
52,02:20:00,Light
59,02:22:00,Light
53,02:24:00,Awake
53,02:26:00,Awake
53,02:28:00,Light
51,02:30:00,Light
50,02:32:00,Light
51,02:34:00,Light
52,02:36:00,Light
53,02:38:00,Light
54,02:40:00,Light
54,02:42:00,Light
56,02:44:00,Light
52,02:46:00,Light
54,02:48:00,Light
53,02:50:00,Light
53,02:52:00,Light
53,02:54:00,Light
52,02:56:00,Deep
52,02:58:00,Deep
53,03:00:00,Deep
52,03:02:00,Deep
52,03:04:00,Light
50,03:06:00,Light
52,03:08:00,Light
52,03:10:00,Light
52,03:12:00,Light
51,03:14:00,Light
53,03:16:00,Light
55,03:18:00,Light
53,03:20:00,Light
54,03:22:00,Awake
52,03:24:00,Light
51,03:26:00,Light
51,03:28:00,Light
52,03:30:00,Light
52,03:32:00,Light
52,03:34:00,Light
52,03:36:00,Deep
53,03:38:00,Deep
52,03:40:00,Deep
55,03:42:00,Light
49,03:44:00,Light
51,03:46:00,Light
51,03:48:00,Light
51,03:50:00,Deep
52,03:52:00,Deep
51,03:54:00,Deep
52,03:56:00,Deep
52,03:58:00,Deep
51,04:00:00,Deep
52,04:02:00,Light
51,04:04:00,Light
52,04:06:00,Light
52,04:08:00,Light
50,04:10:00,Light
50,04:12:00,Light
49,04:14:00,Light
53,04:16:00,REM
51,04:18:00,REM
51,04:20:00,REM
52,04:22:00,REM
50,04:24:00,REM
52,04:26:00,REM
60,04:28:00,Light
49,04:30:00,Light
50,04:32:00,Light
49,04:34:00,Light
52,04:36:00,REM
56,04:38:00,REM
54,04:40:00,REM
53,04:42:00,REM
48,04:44:00,REM
49,04:46:00,REM
51,04:48:00,REM
48,04:50:00,REM
50,04:52:00,Light
46,04:54:00,Light
49,04:56:00,Light
51,04:58:00,Light
52,05:00:00,Light
49,05:02:00,Light
53,05:04:00,Light
51,05:06:00,Light
50,05:08:00,Light
51,05:10:00,Light
51,05:12:00,Light
52,05:14:00,Light
51,05:16:00,Light
51,05:18:00,Light
52,05:20:00,Light
51,05:22:00,Light
52,05:24:00,Light
51,05:26:00,Light
52,05:28:00,Light
52,05:30:00,Light
52,05:32:00,Light
56,05:34:00,Light
50,05:36:00,Light
50,05:38:00,Light
49,05:40:00,Light
50,05:42:00,Light
50,05:44:00,REM
50,05:46:00,REM
51,05:48:00,REM
51,05:50:00,REM
51,05:52:00,REM
51,05:54:00,REM
51,05:56:00,REM
51,05:58:00,REM
51,06:00:00,REM
56,06:02:00,Light
48,06:04:00,Light
49,06:06:00,Light
49,06:08:00,Light
48,06:10:00,Light
48,06:12:00,Light
48,06:14:00,Light
60,06:16:00,Light
51,06:18:00,Light
48,06:20:00,Light
49,06:22:00,Light
48,06:24:00,Light
51,06:26:00,REM
46,06:28:00,REM
51,06:30:00,REM
49,06:32:00,REM
47,06:34:00,REM
48,06:36:00,REM
48,06:38:00,Light
48,06:40:00,Light
49,06:42:00,Light
49,06:44:00,Light
50,06:46:00,Light
45,06:48:00,Light
47,06:50:00,Light
48,06:52:00,Light
47,06:54:00,Light
47,06:56:00,Light
50,06:58:00,Light
49,07:00:00,Light
47,07:02:00,Light
48,07:04:00,Light
49,07:06:00,Light
