heart_rate,timestamp,sleep_stage
51,22:18:00,
49,22:20:00,Light
49,22:22:00,Light
49,22:24:00,Light
48,22:26:00,Light
50,22:28:00,Light
50,22:30:00,Deep
50,22:32:00,Deep
49,22:34:00,Deep
48,22:36:00,Deep
50,22:38:00,Deep
52,22:40:00,Deep
52,22:42:00,Deep
52,22:44:00,Deep
51,22:46:00,Deep
52,22:48:00,Deep
51,22:50:00,Deep
52,22:52:00,Deep
53,22:54:00,Deep
52,22:56:00,Deep
59,22:58:00,Awake
56,23:00:00,Awake
53,23:02:00,Awake
56,23:04:00,Awake
50,23:06:00,Light
51,23:08:00,Light
51,23:10:00,Light
51,23:12:00,Light
51,23:14:00,Light
51,23:16:00,Light
51,23:18:00,Light
52,23:20:00,Light
51,23:22:00,Light
52,23:24:00,Light
51,23:26:00,Light
51,23:28:00,Light
52,23:30:00,Light
53,23:32:00,Light
54,23:34:00,Deep
49,23:36:00,Deep
49,23:38:00,Deep
51,23:40:00,Deep
48,23:42:00,Deep
49,23:44:00,Deep
50,23:46:00,Deep
56,23:48:00,Deep
48,23:50:00,Deep
51,23:52:00,
50,23:54:00,
58,23:56:00,
50,23:58:00,
52,00:00:00,
52,00:02:00,
54,00:04:00,
53,00:06:00,
54,00:08:00,
57,00:10:00,
53,00:12:00,
48,00:14:00,
48,00:16:00,
47,00:18:00,
47,00:20:00,
48,00:22:00,
55,00:24:00,
47,00:26:00,
47,00:28:00,
48,00:30:00,Deep
48,00:32:00,Deep
48,00:34:00,Deep
48,00:36:00,Deep
47,00:38:00,Deep
48,00:40:00,Deep
49,00:42:00,Deep
48,00:44:00,Deep
48,00:46:00,Deep
48,00:48:00,Deep
67,00:50:00,Awake
50,00:52:00,Light
48,00:54:00,Light
48,00:56:00,Light
48,00:58:00,Light
48,01:00:00,Light
49,01:02:00,Light
49,01:04:00,Light
49,01:06:00,Deep
49,01:08:00,Deep
49,01:10:00,Deep
49,01:12:00,Deep
48,01:14:00,Deep
54,01:16:00,Awake
46,01:18:00,Awake
59,01:20:00,Light
46,01:22:00,Light
46,01:24:00,Light
47,01:26:00,Light
48,01:28:00,Light
48,01:30:00,Light
47,01:32:00,Light
49,01:34:00,Light
49,01:36:00,Light
53,01:38:00,Light
44,01:40:00,Light
44,01:42:00,Light
47,01:44:00,Light
47,01:46:00,Light
47,01:48:00,Light
49,01:50:00,Light
47,01:52:00,Light
49,01:54:00,Light
49,01:56:00,Light
48,01:58:00,Light
48,02:00:00,Light
50,02:02:00,Light
47,02:04:00,Light
48,02:06:00,Light
46,02:08:00,Light
46,02:10:00,Light
44,02:12:00,Light
45,02:14:00,Light
46,02:16:00,Light
47,02:18:00,Light
47,02:20:00,Light
47,02:22:00,Light
46,02:24:00,Light
46,02:26:00,Light
47,02:28:00,Light
48,02:30:00,Light
47,02:32:00,Light
46,02:34:00,Light
47,02:36:00,Light
47,02:38:00,Light
48,02:40:00,Light
47,02:42:00,Light
50,02:44:00,Light
66,02:46:00,Light
45,02:48:00,Light
49,02:50:00,Light
45,02:52:00,Light
43,02:54:00,Light
44,02:56:00,Light
45,02:58:00,Light
45,03:00:00,Light
45,03:02:00,Light
45,03:04:00,Light
48,03:06:00,Light
48,03:08:00,Light
43,03:10:00,Light
43,03:12:00,Light
43,03:14:00,Light
43,03:16:00,Light
44,03:18:00,Light
43,03:20:00,Light
45,03:22:00,Light
53,03:24:00,Light
46,03:26:00,Light
44,03:28:00,Light
47,03:30:00,REM
46,03:32:00,REM
47,03:34:00,REM
45,03:36:00,REM
47,03:38:00,REM
47,03:40:00,REM
47,03:42:00,REM
55,03:44:00,REM
43,03:46:00,Light
44,03:48:00,Light
45,03:50:00,Light
44,03:52:00,Light
45,03:54:00,Light
45,03:56:00,Light
46,03:58:00,Light
44,04:00:00,Light
45,04:02:00,Light
45,04:04:00,Light
47,04:06:00,Light
47,04:08:00,Light
45,04:10:00,Light
46,04:12:00,Light
47,04:14:00,Light
46,04:16:00,Light
46,04:18:00,Light
50,04:20:00,REM
54,04:22:00,REM
46,04:24:00,REM
46,04:26:00,REM
47,04:28:00,REM
45,04:30:00,REM
47,04:32:00,REM
60,04:34:00,REM
46,04:36:00,REM
43,04:38:00,REM
50,04:40:00,REM
42,04:42:00,REM
48,04:44:00,REM
44,04:46:00,Light
45,04:48:00,Light
44,04:50:00,Light
45,04:52:00,Light
53,04:54:00,REM
47,04:56:00,REM
47,04:58:00,REM
44,05:00:00,REM
49,05:02:00,REM
43,05:04:00,REM
46,05:06:00,REM
46,05:08:00,REM
54,05:10:00,Awake
54,05:12:00,Awake
50,05:14:00,Light
50,05:16:00,Light
49,05:18:00,Light
48,05:20:00,Light
48,05:22:00,Light
48,05:24:00,Light
48,05:26:00,Light
48,05:28:00,Light
48,05:30:00,Light
47,05:32:00,Light
47,05:34:00,Light
49,05:36:00,REM
50,05:38:00,REM
48,05:40:00,REM
48,05:42:00,REM
48,05:44:00,REM
50,05:46:00,REM
52,05:48:00,REM
49,05:50:00,REM
47,05:52:00,REM
49,05:54:00,REM
48,05:56:00,Light
49,05:58:00,Light
54,06:00:00,Light
46,06:02:00,Light
47,06:04:00,Light
46,06:06:00,Light
46,06:08:00,Light
47,06:10:00,Light
47,06:12:00,Light
