heart_rate,timestamp,sleep_stage
52,01:18:00,Light
53,01:20:00,Deep
54,01:22:00,Deep
54,01:24:00,Deep
55,01:26:00,Deep
53,01:28:00,Deep
55,01:30:00,Deep
55,01:32:00,Deep
55,01:34:00,Deep
55,01:36:00,Deep
55,01:38:00,Deep
56,01:40:00,Deep
56,01:42:00,Deep
56,01:44:00,Deep
56,01:46:00,Deep
56,01:48:00,Deep
55,01:50:00,Deep
55,01:52:00,Deep
56,01:54:00,Deep
71,01:56:00,Awake
53,01:58:00,Light
51,02:00:00,Light
51,02:02:00,Light
51,02:04:00,Light
51,02:06:00,Light
50,02:08:00,Light
49,02:10:00,Light
51,02:12:00,Light
50,02:14:00,Light
50,02:16:00,Light
50,02:18:00,Light
49,02:20:00,Light
50,02:22:00,Light
49,02:24:00,Light
49,02:26:00,Light
54,02:28:00,Light
48,02:30:00,Light
49,02:32:00,Light
50,02:34:00,Light
51,02:36:00,Light
48,02:38:00,Light
48,02:40:00,Light
48,02:42:00,Light
47,02:44:00,Light
46,02:46:00,Light
47,02:48:00,Light
47,02:50:00,Light
47,02:52:00,Light
48,02:54:00,Light
47,02:56:00,Light
48,02:58:00,Light
47,03:00:00,Light
49,03:02:00,Light
60,03:04:00,Light
49,03:06:00,Light
49,03:08:00,Light
49,03:10:00,Light
48,03:12:00,Light
48,03:14:00,Light
49,03:16:00,Light
48,03:18:00,Light
49,03:20:00,Deep
49,03:22:00,Deep
49,03:24:00,Deep
49,03:26:00,Deep
49,03:28:00,Deep
49,03:30:00,Deep
49,03:32:00,Deep
49,03:34:00,Deep
49,03:36:00,Deep
49,03:38:00,Deep
48,03:40:00,Deep
48,03:42:00,Deep
48,03:44:00,Deep
48,03:46:00,Deep
48,03:48:00,Deep
50,03:50:00,Deep
53,03:52:00,Light
54,03:54:00,Light
48,03:56:00,Light
48,03:58:00,Light
47,04:00:00,Light
48,04:02:00,Light
50,04:04:00,Light
51,04:06:00,Light
49,04:08:00,Light
50,04:10:00,Light
49,04:12:00,Light
49,04:14:00,Light
48,04:16:00,Light
49,04:18:00,Light
52,04:20:00,Light
48,04:22:00,Light
49,04:24:00,Light
48,04:26:00,Light
49,04:28:00,Light
49,04:30:00,Light
45,04:32:00,Light
51,04:34:00,Awake
42,04:36:00,Light
42,04:38:00,Light
43,04:40:00,Light
42,04:42:00,Light
42,04:44:00,Light
43,04:46:00,Light
44,04:48:00,Light
43,04:50:00,Light
49,04:52:00,Light
47,04:54:00,Light
44,04:56:00,Light
46,04:58:00,Light
46,05:00:00,Light
45,05:02:00,Light
45,05:04:00,Light
45,05:06:00,Light
44,05:08:00,Light
42,05:10:00,Light
43,05:12:00,Light
42,05:14:00,Light
43,05:16:00,Light
45,05:18:00,Light
43,05:20:00,Light
44,05:22:00,Light
44,05:24:00,REM
47,05:26:00,REM
46,05:28:00,REM
49,05:30:00,REM
46,05:32:00,REM
46,05:34:00,REM
47,05:36:00,REM
46,05:38:00,REM
46,05:40:00,REM
45,05:42:00,REM
50,05:44:00,Light
45,05:46:00,Light
44,05:48:00,Light
45,05:50:00,Light
43,05:52:00,Light
43,05:54:00,Light
44,05:56:00,Light
46,05:58:00,Light
43,06:00:00,Light
46,06:02:00,Light
44,06:04:00,Light
45,06:06:00,Light
44,06:08:00,Light
44,06:10:00,Light
44,06:12:00,Light
44,06:14:00,Light
45,06:16:00,Light
45,06:18:00,Light
44,06:20:00,Light
45,06:22:00,Light
44,06:24:00,Light
45,06:26:00,Light
53,06:28:00,Awake
52,06:30:00,Awake
46,06:32:00,Awake
48,06:34:00,Light
45,06:36:00,Light
45,06:38:00,Light
43,06:40:00,Light
44,06:42:00,Light
43,06:44:00,Light
43,06:46:00,Light
44,06:48:00,Light
43,06:50:00,Light
44,06:52:00,Light
47,06:54:00,Light
53,06:56:00,Light
47,06:58:00,Light
44,07:00:00,Light
45,07:02:00,REM
47,07:04:00,REM
45,07:06:00,REM
49,07:08:00,REM
46,07:10:00,REM
47,07:12:00,REM
47,07:14:00,REM
48,07:16:00,REM
47,07:18:00,REM
49,07:20:00,REM
45,07:22:00,Light
43,07:24:00,Light
44,07:26:00,Light
44,07:28:00,Light
45,07:30:00,Light
46,07:32:00,Light
45,07:34:00,Light
46,07:36:00,Light
51,07:38:00,Light
47,07:40:00,Light
47,07:42:00,Light
47,07:44:00,Light
48,07:46:00,Light
47,07:48:00,Light
48,07:50:00,Light
47,07:52:00,Light
47,07:54:00,Light
48,07:56:00,Light
49,07:58:00,Light
50,08:00:00,Light
55,08:02:00,Light
47,08:04:00,Light
47,08:06:00,Light
46,08:08:00,Light
50,08:10:00,Light
49,08:12:00,Light
52,08:14:00,Light
50,08:16:00,Light
49,08:18:00,Light
48,08:20:00,Light
48,08:22:00,Light
49,08:24:00,Light
49,08:26:00,Light
49,08:28:00,REM
51,08:30:00,REM
48,08:32:00,REM
50,08:34:00,REM
49,08:36:00,REM
48,08:38:00,REM
48,08:40:00,REM
49,08:42:00,REM
49,08:44:00,REM
49,08:46:00,REM
60,08:48:00,REM
57,08:50:00,REM
