heart_rate,timestamp,sleep_stage
47,22:12:00,
46,22:14:00,Light
47,22:16:00,Light
47,22:18:00,Light
48,22:20:00,Light
45,22:22:00,Light
46,22:24:00,Deep
46,22:26:00,Deep
45,22:28:00,Deep
45,22:30:00,Deep
45,22:32:00,Deep
45,22:34:00,Deep
44,22:36:00,Light
45,22:38:00,Light
45,22:40:00,Light
45,22:42:00,Light
44,22:44:00,Light
44,22:46:00,Light
48,22:48:00,Awake
49,22:50:00,Awake
47,22:52:00,Awake
61,22:54:00,Awake
71,22:56:00,Awake
62,22:58:00,Awake
44,23:00:00,Light
44,23:02:00,Light
46,23:04:00,Light
46,23:06:00,Light
45,23:08:00,Light
43,23:10:00,Deep
44,23:12:00,Deep
44,23:14:00,Deep
44,23:16:00,Deep
47,23:18:00,Deep
43,23:20:00,Deep
43,23:22:00,Deep
44,23:24:00,Deep
44,23:26:00,Deep
43,23:28:00,Deep
43,23:30:00,Deep
44,23:32:00,Deep
44,23:34:00,Deep
46,23:36:00,Deep
45,23:38:00,Deep
44,23:40:00,Deep
44,23:42:00,Deep
45,23:44:00,Deep
45,23:46:00,Deep
46,23:48:00,Light
45,23:50:00,Light
44,23:52:00,Light
44,23:54:00,Light
45,23:56:00,Light
45,23:58:00,Light
48,00:00:00,Light
48,00:02:00,Light
46,00:04:00,Light
46,00:06:00,Light
46,00:08:00,Deep
46,00:10:00,Deep
46,00:12:00,Deep
46,00:14:00,Deep
46,00:16:00,Deep
47,00:18:00,Deep
47,00:20:00,Deep
47,00:22:00,Deep
47,00:24:00,Deep
46,00:26:00,Deep
46,00:28:00,Deep
48,00:30:00,Deep
46,00:32:00,Deep
45,00:34:00,Deep
46,00:36:00,Deep
46,00:38:00,Deep
46,00:40:00,Deep
48,00:42:00,Light
47,00:44:00,Light
50,00:46:00,REM
49,00:48:00,REM
50,00:50:00,REM
49,00:52:00,REM
47,00:54:00,REM
45,00:56:00,REM
47,00:58:00,REM
47,01:00:00,REM
46,01:02:00,Light
47,01:04:00,Light
47,01:06:00,Light
47,01:08:00,Light
46,01:10:00,Light
47,01:12:00,Light
48,01:14:00,Light
47,01:16:00,Light
46,01:18:00,Light
48,01:20:00,Light
46,01:22:00,Light
47,01:24:00,Deep
47,01:26:00,Deep
47,01:28:00,Deep
48,01:30:00,Deep
47,01:32:00,Deep
47,01:34:00,Deep
51,01:36:00,Light
47,01:38:00,Light
42,01:40:00,Light
44,01:42:00,Light
42,01:44:00,Light
43,01:46:00,Light
43,01:48:00,Light
44,01:50:00,Light
46,01:52:00,Light
43,01:54:00,Light
43,01:56:00,Light
44,01:58:00,Light
48,02:00:00,Light
45,02:02:00,Light
45,02:04:00,REM
47,02:06:00,REM
46,02:08:00,REM
53,02:10:00,REM
47,02:12:00,REM
47,02:14:00,REM
47,02:16:00,REM
45,02:18:00,REM
49,02:20:00,REM
46,02:22:00,REM
47,02:24:00,REM
47,02:26:00,REM
48,02:28:00,REM
46,02:30:00,REM
46,02:32:00,Light
46,02:34:00,Light
48,02:36:00,Light
46,02:38:00,Light
45,02:40:00,Light
48,02:42:00,Light
50,02:44:00,Light
53,02:46:00,Light
50,02:48:00,Light
49,02:50:00,Light
45,02:52:00,Light
46,02:54:00,Light
45,02:56:00,Light
45,02:58:00,Light
44,03:00:00,Light
44,03:02:00,Light
46,03:04:00,Light
43,03:06:00,Light
43,03:08:00,Light
42,03:10:00,Light
43,03:12:00,Light
43,03:14:00,Light
44,03:16:00,Light
43,03:18:00,Light
44,03:20:00,Light
42,03:22:00,Light
44,03:24:00,Light
43,03:26:00,Light
43,03:28:00,Light
44,03:30:00,Light
44,03:32:00,Light
45,03:34:00,Light
45,03:36:00,Light
44,03:38:00,Light
45,03:40:00,Deep
44,03:42:00,Deep
44,03:44:00,Deep
44,03:46:00,Deep
45,03:48:00,Deep
45,03:50:00,Deep
45,03:52:00,Deep
46,03:54:00,Deep
45,03:56:00,Deep
45,03:58:00,Deep
51,04:00:00,Deep
42,04:02:00,Deep
43,04:04:00,Light
43,04:06:00,Light
42,04:08:00,Light
42,04:10:00,Light
42,04:12:00,Light
44,04:14:00,Light
43,04:16:00,Light
43,04:18:00,Light
44,04:20:00,Light
44,04:22:00,Light
45,04:24:00,Light
48,04:26:00,Light
44,04:28:00,Light
45,04:30:00,Light
43,04:32:00,Light
44,04:34:00,Light
44,04:36:00,REM
45,04:38:00,REM
55,04:40:00,REM
53,04:42:00,REM
45,04:44:00,REM
44,04:46:00,REM
45,04:48:00,REM
49,04:50:00,REM
45,04:52:00,REM
46,04:54:00,REM
48,04:56:00,Awake
44,04:58:00,Light
44,05:00:00,Light
41,05:02:00,Light
42,05:04:00,Light
45,05:06:00,Light
41,05:08:00,Light
41,05:10:00,Light
42,05:12:00,Light
42,05:14:00,Light
42,05:16:00,Light
42,05:18:00,Light
43,05:20:00,Light
43,05:22:00,Light
44,05:24:00,Light
44,05:26:00,Light
44,05:28:00,Light
45,05:30:00,Light
45,05:32:00,Light
44,05:34:00,Light
45,05:36:00,Light
46,05:38:00,Light
43,05:40:00,Light
43,05:42:00,Light
43,05:44:00,Light
43,05:46:00,Light
42,05:48:00,Light
42,05:50:00,REM
44,05:52:00,REM
43,05:54:00,REM
44,05:56:00,REM
47,05:58:00,REM
48,06:00:00,REM
47,06:02:00,REM
48,06:04:00,REM
48,06:06:00,REM
48,06:08:00,REM
47,06:10:00,REM
47,06:12:00,REM
47,06:14:00,REM
47,06:16:00,REM
46,06:18:00,REM
47,06:20:00,Light
46,06:22:00,Light
46,06:24:00,Light
46,06:26:00,Light
45,06:28:00,Light
48,06:30:00,REM
52,06:32:00,REM
48,06:34:00,REM
47,06:36:00,REM
48,06:38:00,REM
62,06:40:00,REM
44,06:42:00,REM
49,06:44:00,REM
54,06:46:00,REM
50,06:48:00,REM
55,06:50:00,REM
45,06:52:00,REM
55,06:54:00,REM
57,06:56:00,REM
49,06:58:00,REM
45,07:00:00,REM
44,07:02:00,REM
44,07:04:00,REM
44,07:06:00,REM
45,07:08:00,REM
47,07:10:00,REM
43,07:12:00,REM
45,07:14:00,REM
45,07:16:00,REM
44,07:18:00,REM
45,07:20:00,REM
44,07:22:00,REM
47,07:24:00,REM
48,07:26:00,Light
41,07:28:00,Light
42,07:30:00,Light
41,07:32:00,Light
42,07:34:00,Light
43,07:36:00,Light
42,07:38:00,Light
42,07:40:00,Light
43,07:42:00,Light
43,07:44:00,Deep
45,07:46:00,Light
48,07:48:00,Light
43,07:50:00,Light
46,07:52:00,Light
44,07:54:00,Deep
44,07:56:00,Deep
46,07:58:00,Light
43,08:00:00,Light
43,08:02:00,Deep
44,08:04:00,Deep
45,08:06:00,Deep
51,08:08:00,Light
42,08:10:00,Light
44,08:12:00,Deep
44,08:14:00,Light
44,08:16:00,Light
46,08:18:00,Light
44,08:20:00,Light
45,08:22:00,Light
45,08:24:00,Deep
50,08:26:00,Light
43,08:28:00,Light
45,08:30:00,Deep
44,08:32:00,Deep
44,08:34:00,Light
45,08:36:00,Deep
45,08:38:00,Deep
53,08:40:00,Light
44,08:42:00,Light
44,08:44:00,Deep
45,08:46:00,Deep
45,08:48:00,Deep
45,08:50:00,Light
43,08:52:00,Deep
44,08:54:00,Deep
45,08:56:00,Deep
44,08:58:00,Deep
55,09:00:00,Light
48,09:02:00,Light
53,09:04:00,Light
42,09:06:00,Light
46,09:08:00,Light
44,09:10:00,Light
52,09:12:00,Light
49,09:14:00,Light
