heart_rate,timestamp,sleep_stage
53,21:44:00,Light
53,21:46:00,Light
53,21:48:00,Light
53,21:50:00,Light
52,21:52:00,Light
53,21:54:00,Light
54,21:56:00,Awake
51,21:58:00,Light
52,22:00:00,Light
51,22:02:00,Light
50,22:04:00,Light
49,22:06:00,Light
52,22:08:00,Light
52,22:10:00,Light
52,22:12:00,Light
53,22:14:00,Light
52,22:16:00,Light
52,22:18:00,Light
52,22:20:00,Light
52,22:22:00,Light
52,22:24:00,Deep
52,22:26:00,Deep
53,22:28:00,Deep
53,22:30:00,Deep
64,22:32:00,Awake
55,22:34:00,Awake
53,22:36:00,Light
52,22:38:00,Light
52,22:40:00,Light
54,22:42:00,Deep
55,22:44:00,Deep
55,22:46:00,Deep
55,22:48:00,Deep
55,22:50:00,Deep
54,22:52:00,Deep
54,22:54:00,Deep
56,22:56:00,Awake
52,22:58:00,Light
53,23:00:00,Light
53,23:02:00,Light
53,23:04:00,Light
56,23:06:00,Light
57,23:08:00,Light
53,23:10:00,Light
51,23:12:00,Light
54,23:14:00,Light
53,23:16:00,Light
54,23:18:00,Light
54,23:20:00,Light
53,23:22:00,Light
55,23:24:00,Light
57,23:26:00,Light
58,23:28:00,Light
51,23:30:00,Light
52,23:32:00,Light
53,23:34:00,Light
54,23:36:00,Light
53,23:38:00,Light
52,23:40:00,Light
52,23:42:00,Light
50,23:44:00,Light
51,23:46:00,Light
50,23:48:00,Light
52,23:50:00,Light
50,23:52:00,Light
54,23:54:00,Light
60,23:56:00,Light
70,23:58:00,Awake
52,00:00:00,
52,00:02:00,
51,00:04:00,
50,00:06:00,
50,00:08:00,
51,00:10:00,
52,00:12:00,
53,00:14:00,
51,00:16:00,
53,00:18:00,
54,00:20:00,Deep
53,00:22:00,Deep
52,00:24:00,Deep
53,00:26:00,Deep
52,00:28:00,Deep
52,00:30:00,Deep
51,00:32:00,Deep
51,00:34:00,Deep
51,00:36:00,Deep
51,00:38:00,Deep
52,00:40:00,Deep
54,00:42:00,Deep
54,00:44:00,Deep
50,00:46:00,Deep
51,00:48:00,Deep
52,00:50:00,Deep
52,00:52:00,Deep
52,00:54:00,Deep
50,00:56:00,Light
50,00:58:00,Light
48,01:00:00,Light
50,01:02:00,Light
54,01:04:00,Light
48,01:06:00,Light
49,01:08:00,Light
48,01:10:00,Light
49,01:12:00,Light
50,01:14:00,Light
50,01:16:00,Light
50,01:18:00,Light
51,01:20:00,Light
59,01:22:00,Light
49,01:24:00,Light
50,01:26:00,Light
50,01:28:00,Light
50,01:30:00,Light
50,01:32:00,Light
51,01:34:00,Light
51,01:36:00,Light
50,01:38:00,Light
52,01:40:00,Light
51,01:42:00,Light
53,01:44:00,Light
52,01:46:00,Light
50,01:48:00,Light
49,01:50:00,Light
50,01:52:00,Light
50,01:54:00,Light
49,01:56:00,Light
51,01:58:00,Light
50,02:00:00,Light
50,02:02:00,Deep
50,02:04:00,Deep
51,02:06:00,Deep
50,02:08:00,Deep
50,02:10:00,Deep
52,02:12:00,Awake
50,02:14:00,Light
47,02:16:00,Light
46,02:18:00,Light
46,02:20:00,Light
46,02:22:00,Light
46,02:24:00,Light
52,02:26:00,Light
51,02:28:00,Light
49,02:30:00,Light
47,02:32:00,Light
47,02:34:00,Light
46,02:36:00,Light
46,02:38:00,Light
47,02:40:00,Light
48,02:42:00,Light
48,02:44:00,Light
48,02:46:00,Light
48,02:48:00,Light
50,02:50:00,Light
50,02:52:00,Light
52,02:54:00,Light
45,02:56:00,Light
44,02:58:00,Light
45,03:00:00,Light
45,03:02:00,Light
45,03:04:00,Light
46,03:06:00,Light
45,03:08:00,Light
45,03:10:00,Light
46,03:12:00,Light
45,03:14:00,Light
46,03:16:00,Light
48,03:18:00,Light
46,03:20:00,Light
45,03:22:00,Light
46,03:24:00,Light
48,03:26:00,Light
49,03:28:00,REM
49,03:30:00,REM
48,03:32:00,REM
49,03:34:00,REM
54,03:36:00,REM
55,03:38:00,REM
55,03:40:00,REM
55,03:42:00,REM
55,03:44:00,Light
49,03:46:00,Light
47,03:48:00,Light
47,03:50:00,Light
47,03:52:00,Light
47,03:54:00,Light
48,03:56:00,Light
48,03:58:00,Light
46,04:00:00,Light
46,04:02:00,Light
48,04:04:00,Light
49,04:06:00,REM
51,04:08:00,REM
54,04:10:00,REM
54,04:12:00,REM
54,04:14:00,REM
48,04:16:00,REM
49,04:18:00,REM
55,04:20:00,REM
45,04:22:00,Light
45,04:24:00,Light
46,04:26:00,Light
53,04:28:00,Light
44,04:30:00,Light
46,04:32:00,Light
46,04:34:00,Light
46,04:36:00,Light
46,04:38:00,Light
46,04:40:00,Light
46,04:42:00,Light
46,04:44:00,Light
47,04:46:00,Deep
47,04:48:00,Deep
46,04:50:00,Deep
47,04:52:00,Deep
47,04:54:00,Deep
47,04:56:00,Light
47,04:58:00,Light
48,05:00:00,Light
49,05:02:00,Light
50,05:04:00,Light
50,05:06:00,Awake
55,05:08:00,Awake
44,05:10:00,Light
44,05:12:00,Light
45,05:14:00,Light
44,05:16:00,Light
47,05:18:00,Light
46,05:20:00,REM
47,05:22:00,REM
60,05:24:00,REM
48,05:26:00,REM
46,05:28:00,REM
50,05:30:00,REM
51,05:32:00,REM
45,05:34:00,REM
45,05:36:00,REM
44,05:38:00,REM
45,05:40:00,REM
47,05:42:00,REM
45,05:44:00,Light
44,05:46:00,Light
44,05:48:00,Light
44,05:50:00,Light
44,05:52:00,Light
45,05:54:00,Light
47,05:56:00,Light
42,05:58:00,Light
44,06:00:00,Light
42,06:02:00,Light
44,06:04:00,Light
44,06:06:00,Light
48,06:08:00,Light
45,06:10:00,Light
44,06:12:00,Light
44,06:14:00,Light
45,06:16:00,Light
46,06:18:00,REM
46,06:20:00,REM
44,06:22:00,REM
52,06:24:00,REM
46,06:26:00,Light
45,06:28:00,Light
43,06:30:00,Light
54,06:32:00,Awake
47,06:34:00,Light
44,06:36:00,Light
44,06:38:00,Light
47,06:40:00,Light
47,06:42:00,Light
44,06:44:00,Light
45,06:46:00,Light
45,06:48:00,Light
46,06:50:00,Light
47,06:52:00,Light
44,06:54:00,Light
47,06:56:00,Light
50,06:58:00,Light
48,07:00:00,Light
48,07:02:00,Light
46,07:04:00,Light
45,07:06:00,Light
44,07:08:00,Light
45,07:10:00,Light
44,07:12:00,Light
45,07:14:00,Light
46,07:16:00,Light
45,07:18:00,
