heart_rate,timestamp,sleep_stage
55,00:56:00,Light
53,00:58:00,Light
52,01:00:00,Light
54,01:02:00,Light
52,01:04:00,Light
51,01:06:00,Light
53,01:08:00,Deep
52,01:10:00,Deep
53,01:12:00,Deep
54,01:14:00,Deep
53,01:16:00,Deep
54,01:18:00,Deep
54,01:20:00,Deep
54,01:22:00,Deep
54,01:24:00,Deep
54,01:26:00,Deep
54,01:28:00,Deep
54,01:30:00,Deep
54,01:32:00,Deep
54,01:34:00,Deep
55,01:36:00,Deep
55,01:38:00,Deep
55,01:40:00,Deep
56,01:42:00,Light
53,01:44:00,Light
52,01:46:00,Light
50,01:48:00,Light
50,01:50:00,Light
50,01:52:00,Light
51,01:54:00,Light
50,01:56:00,Light
51,01:58:00,Light
53,02:00:00,Light
51,02:02:00,Light
53,02:04:00,REM
55,02:06:00,REM
51,02:08:00,Light
51,02:10:00,Light
51,02:12:00,Light
52,02:14:00,Light
51,02:16:00,Light
56,02:18:00,REM
51,02:20:00,REM
53,02:22:00,REM
52,02:24:00,REM
52,02:26:00,Light
54,02:28:00,Light
53,02:30:00,Light
53,02:32:00,Light
53,02:34:00,Light
53,02:36:00,Deep
52,02:38:00,Deep
53,02:40:00,Deep
52,02:42:00,Deep
53,02:44:00,Deep
53,02:46:00,Deep
52,02:48:00,Deep
52,02:50:00,Deep
52,02:52:00,Deep
52,02:54:00,Deep
52,02:56:00,Deep
53,02:58:00,Awake
60,03:00:00,Light
47,03:02:00,Light
48,03:04:00,Light
47,03:06:00,Light
47,03:08:00,Light
50,03:10:00,Light
48,03:12:00,Light
48,03:14:00,Light
53,03:16:00,Light
53,03:18:00,Light
51,03:20:00,Light
50,03:22:00,Light
52,03:24:00,REM
53,03:26:00,REM
50,03:28:00,REM
49,03:30:00,Light
49,03:32:00,Light
47,03:34:00,Light
49,03:36:00,Light
47,03:38:00,Light
46,03:40:00,Light
47,03:42:00,Light
46,03:44:00,Light
47,03:46:00,Light
47,03:48:00,Light
47,03:50:00,Light
47,03:52:00,Light
47,03:54:00,Light
47,03:56:00,Deep
48,03:58:00,Deep
48,04:00:00,Deep
48,04:02:00,Light
53,04:04:00,Light
47,04:06:00,Light
48,04:08:00,Light
48,04:10:00,Light
48,04:12:00,Light
48,04:14:00,Light
48,04:16:00,Light
48,04:18:00,Light
48,04:20:00,Light
48,04:22:00,Light
47,04:24:00,Light
47,04:26:00,Light
47,04:28:00,Light
47,04:30:00,Light
45,04:32:00,Light
46,04:34:00,Light
47,04:36:00,Light
50,04:38:00,REM
52,04:40:00,REM
47,04:42:00,REM
51,04:44:00,REM
50,04:46:00,REM
50,04:48:00,REM
49,04:50:00,Light
48,04:52:00,Light
47,04:54:00,Light
47,04:56:00,Light
61,04:58:00,Light
49,05:00:00,Light
48,05:02:00,REM
49,05:04:00,REM
50,05:06:00,REM
50,05:08:00,REM
48,05:10:00,Light
48,05:12:00,Light
48,05:14:00,Light
47,05:16:00,Light
49,05:18:00,Light
48,05:20:00,REM
49,05:22:00,REM
49,05:24:00,REM
50,05:26:00,REM
51,05:28:00,REM
51,05:30:00,REM
50,05:32:00,REM
51,05:34:00,REM
50,05:36:00,REM
50,05:38:00,REM
51,05:40:00,Light
50,05:42:00,Light
49,05:44:00,Light
48,05:46:00,Light
48,05:48:00,Light
49,05:50:00,Light
49,05:52:00,Light
50,05:54:00,Light
50,05:56:00,Light
50,05:58:00,Light
50,06:00:00,Light
49,06:02:00,Light
50,06:04:00,Light
53,06:06:00,Light
45,06:08:00,Light
45,06:10:00,Light
46,06:12:00,Light
44,06:14:00,Light
46,06:16:00,Light
47,06:18:00,Light
45,06:20:00,Light
45,06:22:00,Light
45,06:24:00,Light
47,06:26:00,Light
51,06:28:00,Light
47,06:30:00,Light
47,06:32:00,Light
47,06:34:00,REM
49,06:36:00,REM
49,06:38:00,REM
53,06:40:00,REM
47,06:42:00,REM
49,06:44:00,Light
48,06:46:00,Light
48,06:48:00,Light
48,06:50:00,Light
48,06:52:00,Light
49,06:54:00,Light
49,06:56:00,Light
52,06:58:00,Light
48,07:00:00,Light
49,07:02:00,Light
50,07:04:00,Awake
56,07:06:00,Light
46,07:08:00,Light
46,07:10:00,Light
46,07:12:00,Light
47,07:14:00,Light
48,07:16:00,Light
48,07:18:00,Light
49,07:20:00,REM
49,07:22:00,REM
48,07:24:00,REM
50,07:26:00,REM
50,07:28:00,REM
50,07:30:00,Light
51,07:32:00,Light
51,07:34:00,Light
51,07:36:00,Light
48,07:38:00,Light
48,07:40:00,Light
44,07:42:00,Light
47,07:44:00,Light
45,07:46:00,Light
50,07:48:00,Light
47,07:50:00,Light
47,07:52:00,Light
50,07:54:00,Light
46,07:56:00,Light
49,07:58:00,Light
