heart_rate,timestamp,sleep_stage
59,02:00:00,Light
59,02:02:00,Light
60,02:04:00,Light
61,02:06:00,Light
59,02:08:00,Light
58,02:10:00,Light
57,02:12:00,Deep
59,02:14:00,Deep
59,02:16:00,Deep
59,02:18:00,Deep
59,02:20:00,Deep
59,02:22:00,Deep
59,02:24:00,Deep
60,02:26:00,Deep
60,02:28:00,Deep
59,02:30:00,Deep
59,02:32:00,Deep
60,02:34:00,Deep
60,02:36:00,Deep
60,02:38:00,Deep
58,02:40:00,Deep
58,02:42:00,Deep
59,02:44:00,Deep
59,02:46:00,Deep
59,02:48:00,Deep
59,02:50:00,Deep
59,02:52:00,Deep
59,02:54:00,Deep
60,02:56:00,Deep
74,02:58:00,Awake
61,03:00:00,Light
55,03:02:00,Light
55,03:04:00,Light
55,03:06:00,Light
55,03:08:00,Light
54,03:10:00,Light
54,03:12:00,Light
53,03:14:00,Light
56,03:16:00,Light
56,03:18:00,Light
57,03:20:00,Light
55,03:22:00,Light
57,03:24:00,Light
58,03:26:00,Light
53,03:28:00,Light
54,03:30:00,Light
50,03:32:00,Light
52,03:34:00,Light
51,03:36:00,Light
50,03:38:00,Light
49,03:40:00,Light
50,03:42:00,Light
49,03:44:00,Light
51,03:46:00,Deep
51,03:48:00,Deep
50,03:50:00,Deep
50,03:52:00,Deep
55,03:54:00,Deep
50,03:56:00,Light
48,03:58:00,Light
49,04:00:00,Light
51,04:02:00,Light
50,04:04:00,Light
51,04:06:00,Light
51,04:08:00,Light
51,04:10:00,Light
51,04:12:00,Deep
50,04:14:00,Deep
49,04:16:00,Deep
50,04:18:00,Deep
49,04:20:00,Deep
50,04:22:00,Deep
50,04:24:00,Light
49,04:26:00,Light
49,04:28:00,Light
50,04:30:00,Light
53,04:32:00,Light
50,04:34:00,Light
52,04:36:00,Light
50,04:38:00,Light
52,04:40:00,Light
49,04:42:00,Light
50,04:44:00,Light
48,04:46:00,Light
48,04:48:00,Light
49,04:50:00,Light
47,04:52:00,Light
47,04:54:00,Light
49,04:56:00,Light
50,04:58:00,Light
49,05:00:00,Light
50,05:02:00,Light
50,05:04:00,Light
49,05:06:00,Light
49,05:08:00,Deep
49,05:10:00,Deep
50,05:12:00,Deep
49,05:14:00,Deep
50,05:16:00,Deep
48,05:18:00,Light
56,05:20:00,Light
46,05:22:00,Light
46,05:24:00,Light
46,05:26:00,Light
46,05:28:00,Light
47,05:30:00,Light
47,05:32:00,Deep
46,05:34:00,Deep
47,05:36:00,Deep
53,05:38:00,Light
51,05:40:00,Light
48,05:42:00,Light
46,05:44:00,Light
47,05:46:00,Light
47,05:48:00,Light
45,05:50:00,Light
46,05:52:00,Light
46,05:54:00,Light
45,05:56:00,Light
46,05:58:00,Light
46,06:00:00,Light
46,06:02:00,REM
47,06:04:00,REM
48,06:06:00,REM
50,06:08:00,REM
47,06:10:00,REM
48,06:12:00,REM
54,06:14:00,REM
48,06:16:00,REM
46,06:18:00,Light
49,06:20:00,Light
46,06:22:00,REM
49,06:24:00,REM
48,06:26:00,REM
48,06:28:00,REM
47,06:30:00,REM
48,06:32:00,REM
49,06:34:00,REM
48,06:36:00,REM
49,06:38:00,REM
49,06:40:00,REM
50,06:42:00,REM
50,06:44:00,REM
51,06:46:00,REM
51,06:48:00,REM
50,06:50:00,REM
49,06:52:00,REM
51,06:54:00,REM
51,06:56:00,REM
51,06:58:00,REM
51,07:00:00,REM
51,07:02:00,REM
51,07:04:00,REM
49,07:06:00,REM
49,07:08:00,REM
49,07:10:00,REM
49,07:12:00,REM
49,07:14:00,REM
49,07:16:00,REM
51,07:18:00,REM
50,07:20:00,REM
51,07:22:00,Light
51,07:24:00,Light
51,07:26:00,Light
50,07:28:00,Light
50,07:30:00,Light
48,07:32:00,Light
46,07:34:00,Light
45,07:36:00,Light
47,07:38:00,Light
48,07:40:00,Light
45,07:42:00,Light
48,07:44:00,Light
45,07:46:00,Light
48,07:48:00,Light
